,name,url
0,『Googleアナリティクス分析・改善のすべてがわかる本』を読んだので学んだこととか調べたことをまとめる。,https://review-of-my-life.blogspot.com/2018/08/google.html
1,ビジネスマンも読むべき！ゆうこすの『SNSで夢を叶える　ニートだった私の人生を変えた発信力の育て方』,https://review-of-my-life.blogspot.com/2018/08/yukosu.html
2,17年前に書かれた『インターネット的（糸井重里）』が現代の予言書だった,https://review-of-my-life.blogspot.com/2018/08/internet-like.html
3,ブランド人になるには、ソーシャルメディアの影響力を上げろ！『ブランド人になれ』田端信太郎,https://review-of-my-life.blogspot.com/2018/08/branding.html
4,SNS運用、グロース施策の考え方として面白かった『ファンベース』まとめ,https://review-of-my-life.blogspot.com/2018/08/fanbase.html
5,『データ解析の実務プロセス入門（あんちべ）』を読んで特に学びが多かったこと,https://review-of-my-life.blogspot.com/2018/06/antibe-data-analysis.html
6,『プログラミング初心者病』にかかってませんか？自走したプログラミング学習者になるためにすべきことをまとめました。,https://review-of-my-life.blogspot.com/2018/05/programming-beginner-desease.html
7,『いちばんやさしいグロースハックの教本』のためになったことをまとめた,https://review-of-my-life.blogspot.com/2018/05/growth-hack.html
8,【急募】『次に売れるAV女優を予測する』スケベKaggleやります！人材募集中！,https://review-of-my-life.blogspot.com/2018/04/sukebe-kaggle.html
9,『10年後の仕事図鑑』の面白かったところまとめ,https://review-of-my-life.blogspot.com/2018/04/works-10years-later.html
10,LINEから撮ったテキスト画像を自動で文字起こししてくれる「文字おこし君」を作りました,https://review-of-my-life.blogspot.com/2018/04/moji-okoshi-kun.html
11,プログラミング教育の僕のスタンス,https://review-of-my-life.blogspot.com/2018/04/blog-post_26.html
12,『完全教祖マニュアル』を読んで「インフルエンサー」と「教祖」って似ていると思った話,https://review-of-my-life.blogspot.com/2018/04/blog-post_23.html
13,サラリーマンで社内評価上げるよりも、自分でコンテンツ作って売って稼いだほうがはるかに簡単に早く年収が上がるという話,https://review-of-my-life.blogspot.com/2018/04/carreer.html
14,【プログラミング初心者必見】noteで技術チュートリアルを作っている人をまとめてみたよ！,https://review-of-my-life.blogspot.com/2018/04/note.html
15,発達障害者が健常者と呼ばれる社会が創りたい,https://review-of-my-life.blogspot.com/2018/04/blog-post_9.html
16,Python3でCrontabを設定し指定したキーワードからツイッターのいいねの自動実行を行う,https://review-of-my-life.blogspot.com/2018/04/python3-crontab.html
17,Python3 PandasでHeaderのみのDataFrameを作成する,https://review-of-my-life.blogspot.com/2018/04/python3-pandasheaderdataframe.html
18,青い世界には、対立仮説が必ず存在する,https://review-of-my-life.blogspot.com/2018/04/blog-post.html
19,Flaskにおけるredirectとrender_templateメソッドの違い,https://review-of-my-life.blogspot.com/2018/04/flask-render-template-vs-reidirect.html
